Date,Open,High,Low,Close,Volume,Adj Close
2007-10-01,41.279999,42.150002,39.400002,41.16,32919400,30.191273
2007-11-01,40.889999,40.98,36.52,38.290001,45186900,28.0861
2007-12-03,38.200001,38.200001,36.07,37.07,42936400,27.423683
2008-01-02,37.099998,37.450001,32.919998,35.360001,55123800,26.158657
2008-02-01,35.59,36.299999,33.09,33.139999,45001500,24.739546
2008-03-03,33.34,37.740002,31.65,37.009998,59927700,27.628563
2008-04-01,37.360001,38.52,31.549999,32.700001,64485500,24.411079
2008-05-01,32.799999,33.619999,30.209999,30.719999,52851400,22.932976
2008-06-02,30.75,31.139999,26.15,26.690001,75218200,20.145901
2008-07-01,26.42,29.889999,25.6,28.290001,69943000,21.353598
2008-08-01,28.43,30.389999,27.76,28.1,43604700,21.210184
2008-09-02,28.540001,29.280001,22.16,25.5,105769100,19.506201
2008-10-01,24.0,25.75,17.27,19.51,164650600,14.924157
2008-11-03,19.780001,21.040001,12.58,17.17,134841700,13.134176
2008-12-01,16.360001,19.299999,15.35,16.200001,98683700,12.630486
2009-01-02,16.51,17.24,11.87,12.13,117847200,9.457272
2009-02-02,12.03,12.9,8.4,8.51,194928800,6.829863
2009-03-02,8.29,11.35,5.87,10.11,277438100,8.113974
2009-04-01,9.91,12.81,9.8,12.65,133547800,10.152498
2009-05-01,12.74,14.55,12.22,13.48,104569000,10.818631
2009-06-01,13.82,13.99,11.25,11.72,87259400,9.483526
2009-07-01,11.76,13.45,10.5,13.4,100768400,10.842939
2009-08-03,13.65,14.88,13.16,13.9,86516200,11.247526
2009-09-01,13.74,17.52,13.03,16.42,132466400,13.365266
2009-10-01,16.309999,16.870001,14.15,14.26,103007100,11.607106
2009-11-02,14.3,16.25,14.15,16.02,80429200,13.03968
2009-12-01,16.27,16.49,15.13,15.13,62454500,12.395328
2010-01-04,15.22,16.92,15.15,16.08,88647000,13.173619
2010-02-01,16.200001,17.030001,15.25,16.059999,77313200,13.239364
2010-03-01,16.1,18.940001,15.83,18.200001,93007300,15.003514
2010-04-01,18.27,19.700001,18.18,18.860001,82505100,15.547598
2010-05-03,18.969999,19.34,15.15,16.35,106550400,13.478432
2010-06-01,16.24,16.51,14.27,14.42,83717300,11.962875
2010-07-01,14.33,16.57,13.75,16.120001,75597900,13.373201
2010-08-02,16.32,16.540001,14.25,14.48,60617900,12.012651
2010-09-01,14.73,16.700001,14.6,16.25,60450700,13.580785
2010-10-01,16.4,17.49,15.88,16.02,64676100,13.388565
2010-11-01,16.09,16.860001,15.63,15.83,55387200,13.229774
2010-12-01,16.030001,18.49,16.030001,18.290001,57131500,15.406192
2011-01-03,18.49,20.74,18.120001,20.139999,76413100,16.964499
2011-02-01,20.379999,21.65,20.08,20.92,52895600,17.743464
2011-03-01,21.120001,21.17,18.6,20.049999,63914200,17.005566
2011-04-01,20.139999,20.85,19.51,20.450001,56259100,17.344831
2011-05-02,20.700001,20.709999,18.969999,19.639999,45910500,16.657822
2011-06-01,19.469999,19.6,17.969999,18.860001,53951800,16.127808
2011-07-01,18.860001,19.530001,17.780001,17.91,56825300,15.315431
2011-08-01,18.389999,18.42,14.82,16.309999,93424200,13.947218
2011-09-01,16.309999,16.450001,14.72,15.22,88186000,13.139948
2011-10-03,15.1,17.5,14.02,16.709999,70815300,14.426315
2011-11-01,16.129999,16.690001,14.68,15.91,64405900,13.735648
2011-12-01,15.89,18.280001,15.73,17.91,73366100,15.612351
2012-01-03,18.23,19.27,18.23,18.709999,51444600,16.309721
2012-02-01,18.940001,19.5,18.700001,19.049999,49933200,16.752981
2012-03-01,19.15,21.0,18.32,20.07,50233700,17.649992
2012-04-02,20.030001,20.110001,18.700001,19.58,43774500,17.219076
2012-05-01,19.58,19.950001,18.32,19.09,46065700,16.78816
2012-06-01,18.82,20.84,18.02,20.84,62921700,18.535172
2012-07-02,20.74,21.0,19.360001,20.75,51637000,18.455124
2012-08-01,20.860001,21.190001,20.200001,20.709999,31618300,18.419548
2012-09-04,20.629999,22.959999,20.48,22.709999,57152600,20.35261
2012-10-01,22.73,23.18,20.969999,21.059999,45216000,18.873888
2012-11-01,21.030001,21.780001,19.870001,21.129999,41367900,18.936621
2012-12-03,21.18,21.950001,20.26,20.99,48120000,18.982821
2013-01-02,21.51,22.58,20.68,22.280001,45481800,20.149466
2013-02-01,22.43,23.75,22.27,23.219999,42399400,21.171406
2013-03-01,23.02,23.9,22.85,23.120001,35856200,21.080231
2013-04-01,23.030001,23.719999,21.110001,22.290001,45473700,20.323458
2013-05-01,22.1,24.129999,22.1,23.32,40605700,21.262585
2013-06-03,23.370001,24.450001,22.76,23.190001,46064200,21.312923
2013-07-01,23.209999,24.950001,22.76,24.370001,37830200,22.397409
2013-08-01,24.6,24.870001,23.040001,23.139999,31680000,21.26697
2013-09-03,23.309999,24.91,22.92,23.889999,38743100,22.125362
2013-10-01,23.940001,26.48,23.5,26.139999,40825700,24.209166
2013-11-01,26.049999,27.5,26.030001,26.66,36825500,24.690756
2013-12-02,26.65,28.09,26.200001,28.030001,36802800,26.169603
2014-01-02,27.860001,27.940001,24.9,25.129999,45898300,23.46208
2014-02-03,25.129999,26.040001,24.32,25.469999,37064800,23.98728
2014-03-03,25.209999,26.35,24.92,25.889999,34011600,24.38283
2014-04-01,25.83,26.9,25.43,26.889999,32731000,25.324615
2014-05-01,26.73,26.959999,26.15,26.790001,21905100,25.230438
2014-06-02,26.709999,27.530001,26.200001,26.280001,28162300,24.95429
2014-07-01,26.27,27.15,25.15,25.15,34881200,23.881292
2014-08-01,25.07,26.450001,24.75,25.98,27001000,24.669422
2014-09-02,25.889999,26.4,25.299999,25.620001,28269200,24.533037
2014-10-01,25.43,25.93,23.690001,25.809999,37177400,24.714975
2014-11-03,25.49,27.1,25.48,26.49,28829100,25.366125
2014-12-01,26.16,26.469999,24.059999,25.27,40687800,24.425701
2015-01-02,25.34,25.459999,23.41,23.889999,47700900,23.091806
2015-02-02,24.0,26.27,23.9,25.99,38124900,25.352579
2015-03-02,25.879999,26.120001,24.67,24.809999,35538800,24.201519
2015-04-01,24.719999,28.68,24.57,27.08,67788700,26.415846
2015-05-01,27.09,27.790001,26.610001,27.27,34048900,26.601187
2015-06-01,27.26,27.68,26.530001,26.57,33375800,26.138813
2015-07-01,26.67,27.33,25.52,26.1,29094100,25.676441
2015-08-03,26.120001,26.33,19.370001,24.82,38806900,24.417213
2015-09-01,24.24,26.030001,23.68,25.219999,46312500,25.032763
2015-10-01,25.15,29.83,24.790001,28.92,70531700,28.705296
2015-11-02,28.940001,30.99,28.879999,29.940001,168162300,29.717722
2015-12-01,29.99,31.23,29.77,30.9,53913100,30.9
